seed,soil,season,states,info,growth_days,fertilizers,irrigation
Gram (Chickpea),Sandy loam,Rabi,Madhya Pradesh,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal",One irrigation at pod formation (apply as needed)
Turmeric,Loamy,Kharif,Telangana,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits (apply as needed)",Irrigate every 10–15 days - follow local extension recommendations
Ginger,Loamy,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Water every 7–10 days
Black Pepper,Loamy,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Irrigate every 10–12 days (apply as needed)
Cardamom,Forest soil,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal (apply as needed)",Regular irrigation in dry months
Banana,Loamy,Annual,Maharashtra,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Mango,Alluvial,Perennial,UP,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set (apply as needed)","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Papaya,Sandy loam,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application (apply as needed),Irrigate every 7–10 days
Guava,Loamy,Perennial,UP,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual (apply as needed)","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Apple,Loamy,Rabi,J&K,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate during fruit set and dry periods - follow local extension recommendations
Grapes,Loamy,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Irrigate every 7–10 days - follow local extension recommendations
Pineapple,Laterite,Annual,Assam,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal - follow local extension recommendations",Water every 10–15 days
Watermelon,Sandy loam,Kharif,Rajasthan,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting
Muskmelon,Loamy,Summer,Punjab,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Water at 7–10 day intervals
Pomegranate,Loamy,Perennial,Karnataka,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Irrigate at flowering and fruiting
Coconut,Coastal soil,Perennial,Karnataka,"Nut crop, coastal regions",365+,"Organic manure, Potash annual (apply as needed)",Irrigate every 15–20 days (apply as needed)
Tea,Loamy,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Irrigate in dry months
Coffee,Laterite,Perennial,Karnataka,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Irrigate in dry season (apply as needed)
Tobacco,Sandy loam,Rabi,Gujarat,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Water every 7–10 days
Jute,Sandy loam,Kharif,West Bengal,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,AP,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation
Sesame,Alluvial,Rabi,Gujarat,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, irrigate at flowering (apply as needed)"
Castor,Black soil,Rabi,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal - follow local extension recommendations,Irrigate at flowering and capsule formation
Safflower,Loamy,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering - follow local extension recommendations","Usually rainfed, irrigate at flowering (apply as needed)"
Linseed,Sandy loam,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal,Irrigate once at flowering - follow local extension recommendations
Peas,Loamy,Rabi,Punjab,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen - follow local extension recommendations",Irrigate at flowering and pod filling (apply as needed)
Rice,Alluvial,Kharif,West Bengal,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Wheat,Alluvial,Rabi,Haryana,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Water at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Kharif,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling - follow local extension recommendations","Irrigate at knee-high, tasseling, grain filling"
Sugarcane,Alluvial,Annual,Maharashtra,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal (apply as needed)","Irrigate every 7–12 days in summer, 15–20 in winter - follow local extension recommendations"
Cotton,Black soil,Kharif,Telangana,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering",Water every 7–12 days during boll formation
Pulses (Tur/Arhar),Black soil,Kharif,Karnataka,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen - follow local extension recommendations",One irrigation at flowering if dry
Groundnut,Red soil,Rabi,Tamil Nadu,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development (apply as needed)
Bajra (Pearl Millet),Sandy,Kharif,Rajasthan,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs - follow local extension recommendations",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Sandy loam,Kharif,Maharashtra,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; water at booting and grain filling
Barley,Sandy loam,Rabi,Punjab,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling"
Soybean,Loamy,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Water at pod initiation and seed filling
Mustard,Sandy,Rabi,UP,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing (apply as needed)","Irrigate at branching, flowering, pod formation - follow local extension recommendations"
Sunflower,Sandy loam,Rabi,Andhra Pradesh,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering (apply as needed)","Water at seedling, flowering, seed filling"
Potato,Sandy loam,Rabi,West Bengal,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses - follow local extension recommendations","Irrigate at stolon formation, tuber bulking"
Onion,Loamy,Rabi,Gujarat,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash (apply as needed),"Irrigate every 10–12 days, critical at bulb formation (apply as needed)"
Tomato,Loamy,Rabi,Andhra Pradesh,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 6–8 days (apply as needed)
Brinjal,Sandy loam,Annual,Bihar,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits (apply as needed)",Water every 7–10 days
Cabbage,Loamy,Rabi,Himachal Pradesh,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal - follow local extension recommendations",Irrigate every 10–12 days (apply as needed)
Cauliflower,Loamy,Rabi,Bihar,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Irrigate every 8–10 days (apply as needed)
Chilli,Sandy loam,Rabi,Karnataka,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering - follow local extension recommendations",Irrigate every 7–10 days
Carrot,Sandy loam,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days - follow local extension recommendations
Radish,Loamy,Rabi,Haryana,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS",Irrigate every 7–10 days (apply as needed)
Spinach,Loamy,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal (apply as needed)",Water every 5–7 days
Lentil,Sandy loam,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal (apply as needed)","Usually rainfed, one irrigation at flowering"
Gram (Chickpea),Sandy loam,Rabi,Rajasthan,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal (apply as needed)",One irrigation at pod formation (apply as needed)
Turmeric,Alluvial,Kharif,Telangana,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits - follow local extension recommendations",Irrigate every 10–15 days
Ginger,Loamy,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Black Pepper,Loamy,Perennial,Kerala,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Water every 10–12 days
Cardamom,Loamy,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal - follow local extension recommendations",Regular irrigation in dry months
Banana,Loamy,Annual,Tamil Nadu,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Mango,Alluvial,Perennial,Maharashtra,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set","Irrigate young plants, flowering, fruiting"
Papaya,Sandy loam,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Water every 7–10 days
Guava,Sandy loam,Perennial,UP,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual - follow local extension recommendations","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Apple,Sandy loam,Rabi,J&K,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate during fruit set and dry periods
Grapes,Loamy,Annual,Tamil Nadu,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal (apply as needed)",Irrigate every 7–10 days
Pineapple,Sandy loam,Annual,Assam,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Water every 10–15 days
Watermelon,Sandy loam,Summer,Karnataka,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting
Muskmelon,Loamy,Summer,Rajasthan,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set",Irrigate at 7–10 day intervals
Pomegranate,Sandy loam,Perennial,Karnataka,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual (apply as needed)",Irrigate at flowering and fruiting - follow local extension recommendations
Coconut,Sandy loam,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual (apply as needed)",Water every 15–20 days
Tea,Laterite,Perennial,Assam,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Water in dry months
Coffee,Loamy,Perennial,Tamil Nadu,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Water in dry season
Rubber,Laterite,Perennial,Kerala,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Irrigate in dry season (apply as needed)
Tobacco,Alluvial,Kharif,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Irrigate every 7–10 days
Jute,Alluvial,Kharif,Assam,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,AP,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Water at boll formation
Sesame,Sandy loam,Rabi,Gujarat,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, irrigate at flowering (apply as needed)"
Castor,Sandy loam,Rabi,Gujarat,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Irrigate at flowering and capsule formation (apply as needed)
Safflower,Loamy,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering","Usually rainfed, water at flowering"
Linseed,Sandy loam,Rabi,UP,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate once at flowering (apply as needed)
Peas,Loamy,Rabi,Punjab,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen - follow local extension recommendations",Water at flowering and pod filling
Rice,Clay,Rabi,Odisha,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Irrigate every 7–10 days
Wheat,Alluvial,Rabi,Bihar,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Kharif,Bihar,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling - follow local extension recommendations"
Sugarcane,Alluvial,Annual,Maharashtra,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal","Irrigate every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Gujarat,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Irrigate every 7–12 days during boll formation (apply as needed)
Pulses (Tur/Arhar),Black soil,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry
Groundnut,Sandy loam,Kharif,Tamil Nadu,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal (apply as needed)",Irrigate at pegging and pod development - follow local extension recommendations
Bajra (Pearl Millet),Light loam,Kharif,Karnataka,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs (apply as needed)",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Sandy loam,Rabi,Karnataka,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal - follow local extension recommendations,Rainfed; irrigate at booting and grain filling (apply as needed)
Barley,Sandy loam,Rabi,Haryana,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling"
Soybean,Black,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling - follow local extension recommendations
Mustard,Sandy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing - follow local extension recommendations","Irrigate at branching, flowering, pod formation (apply as needed)"
